Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
L&T Construction,--,19.1k, Chennai ,Engineering & Construction,Engineering & Construction | Chennai +434 other locations,7.3k,4.0
Hindustan Unilever,33,20.4k, Mumbai ,FMCG,FMCG | Mumbai +540 other locations,7.2k,4.2
KPMG India,68,66.1k, Bengaluru ,Management Consulting,Management Consulting | Bengaluru +112 other locations,7.2k,3.4
ITC,90,24.8k, Bengaluru ,FMCG,FMCG | Bengaluru +377 other locations,7.1k,3.9
Axis Max Life Insurance,141,20.1k, New Delhi ,Insurance,Insurance | New Delhi +504 other locations,7.1k,4.0
Megha Engineering & Infrastructures,30,18.8k, Hyderabad ,Engineering & Construction,Engineering & Construction | Hyderabad +406 other locations,6.9k,3.9
Tata Projects,55,22.7k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +287 other locations,6.8k,4.2
Coforge,179,50.2k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +103 other locations,6.7k,3.3
Bajaj Life Insurance,73,17.8k, Pune ,Insurance,Insurance | Pune +615 other locations,6.5k,3.8
Cholamandalam Investment & Finance,41,13k, Chennai ,Financial Services,Financial Services | Chennai +857 other locations,6.5k,3.8
L&T Technology Services,--,43.5k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +93 other locations,6.5k,3.1
FIS,123,39k, Pune ,FinTech,FinTech | Pune +60 other locations,6.5k,3.8
Oracle,95,63.1k, Bengaluru ,Software Product,Software Product | Bengaluru +56 other locations,6.3k,3.5
Omega Healthcare,144,27k, Chennai ,BPO,BPO | Chennai +69 other locations,6.3k,3.8
Muthoot Finance,114,13k, Bengaluru ,NBFC,NBFC | Bengaluru +791 other locations,6.3k,3.7
IIFL Finance,79,14.1k, Mumbai ,NBFC,NBFC | Mumbai +807 other locations,6.3k,4.0
JLL,370,24.5k, Gurugram ,Real Estate,Real Estate | Gurugram +85 other locations,6.3k,4.1
Indian Army,--,9.4k, New Delhi ,Defence & Aerospace,Defence & Aerospace | New Delhi +363 other locations,6.2k,4.7
eClerx,656,32.6k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +32 other locations,6.2k,3.1
HCL Group,--,39.4k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +97 other locations,6.1k,3.5
DMart,211,18.6k, Mumbai ,Retail,Retail | Mumbai +248 other locations,6.1k,3.9
Virtusa Consulting Services,1.1k,56.8k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +55 other locations,6k,3.7
Piramal Finance,8,12.3k, Mumbai ,NBFC,NBFC | Mumbai +424 other locations,6k,4.2
Indiamart Intermesh,167,21.5k, Noida ,Internet,Internet | Noida +174 other locations,5.9k,3.5
HSBC Group,124,43.8k, Bengaluru ,Financial Services,Financial Services | Bengaluru +63 other locations,5.9k,3.9
PolicyBazaar,774,17.4k, Gurugram ,Internet,Internet | Gurugram +150 other locations,5.9k,3.8
SMFG India Credit,50,10.9k, Mumbai ,NBFC,NBFC | Mumbai +596 other locations,5.9k,3.9
Access Healthcare,1.9k,28.9k, Chennai ,BPO,BPO | Chennai +63 other locations,5.8k,3.7
BigBasket,82,19.5k, Bengaluru ,Internet,Internet | Bengaluru +143 other locations,5.8k,3.9
Siemens,79,34.2k, Bengaluru ,Industrial Automation,Industrial Automation | Bengaluru +155 other locations,5.8k,3.9
