Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
Bajaj General Insurance Limited,228,11k, Pune ,Insurance,Insurance | Pune +304 other locations,3.4k,3.7
Ford Motor,3,15.4k, Chennai ,Automobile,Automobile | Chennai +131 other locations,3.4k,4.2
Barclays,--,32.5k, Pune ,Banking,Banking | Pune +35 other locations,3.4k,3.7
Ceat Tyres,11,13k, Nagpur ,Auto Components,Auto Components | Nagpur +142 other locations,3.3k,3.9
RSPL Group,17,9.6k, Kanpur ,FMCG,FMCG | Kanpur +256 other locations,3.3k,4.1
TVS Credit Services Ltd,34,7.3k, Chennai ,NBFC,NBFC | Chennai +439 other locations,3.3k,4.2
NatWest Group,46,21.3k, Gurugram ,Banking,Banking | Gurugram +28 other locations,3.3k,4.0
AGS Health,46,14.5k, Chennai ,Analytics & KPO,Analytics & KPO | Chennai +64 other locations,3.3k,4.0
HARMAN,90,24.2k, Bengaluru ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Bengaluru +42 other locations,3.3k,3.8
InterGlobe Aviation,52,13.4k, New Delhi ,Aviation,Aviation | New Delhi +105 other locations,3.3k,3.5
Croma,15,9.2k, Mumbai ,Retail,Retail | Mumbai +192 other locations,3.3k,3.8
Conduent,333,16.9k, Bengaluru ,BPO,BPO | Bengaluru +34 other locations,3.3k,3.4
Alstom Transportation,240,15.1k, Bengaluru ,Engineering & Construction,Engineering & Construction | Bengaluru +80 other locations,3.2k,3.7
Niva Bupa Health Insurance Company,49,8.4k, New Delhi ,Insurance,Insurance | New Delhi +321 other locations,3.2k,4.0
Indian Air Force,--,5.4k, New Delhi ,Defence & Aerospace,Defence & Aerospace | New Delhi +134 other locations,3.2k,4.6
Tata Technologies,145,23k, Pune ,Engineering & Construction,Engineering & Construction | Pune +58 other locations,3.2k,3.4
GeBBS Healthcare Solutions,79,11.3k, Mumbai ,BPO,BPO | Mumbai +24 other locations,3.2k,3.8
Tata AIG,72,11.3k, Mumbai ,Insurance,Insurance | Mumbai +260 other locations,3.2k,4.0
Allcargo Logistics,39,7.1k, Mumbai ,Logistics,Logistics | Mumbai +175 other locations,3.2k,3.8
UPL,39,11k, Ankleshwar ,Agro Chemicals,Agro Chemicals | Ankleshwar +185 other locations,3.2k,4.1
Max Healthcare,98,10.4k, New Delhi ,Healthcare,Healthcare | New Delhi +78 other locations,3.1k,4.0
Marpu Foundation,--,60, Hyderabad ,Non-Profit,Non-Profit | Hyderabad +61 other locations,3.1k,4.9
PepsiCo,215,13.7k, Hyderabad ,Food Processing,Food Processing | Hyderabad +280 other locations,3.1k,4.0
Amazon Transportation Services,--,8.5k, Hyderabad ,Logistics,Logistics | Hyderabad +226 other locations,3.1k,4.2
Dilip Buildcon,18,8.1k, Bhopal ,Engineering & Construction,Engineering & Construction | Bhopal +229 other locations,3.1k,3.9
Titan Company,105,9.7k, Bengaluru ,Retail,Retail | Bengaluru +186 other locations,3.1k,4.2
Walmart,217,23.1k, Bengaluru ,Retail,Retail | Bengaluru +91 other locations,3.1k,3.5
Mankind Pharma,8,9.5k, New Delhi ,Pharma,Pharma | New Delhi +247 other locations,3.1k,3.8
Jindal Stainless,93,11.5k, Jajpur ,Iron & Steel,Iron & Steel | Jajpur +78 other locations,3.1k,4.2
Varroc Group,34,9.5k, Pune ,Auto Components,Auto Components | Pune +62 other locations,3.1k,3.6
Sagility,98,12k, Bengaluru ,BPO,BPO | Bengaluru +27 other locations,3.1k,3.9
S&P Global,535,20.6k, Hyderabad ,Analytics & KPO,Analytics & KPO | Hyderabad +47 other locations,3.1k,4.0
